Machine,SKUCode,MouldNos,MouldLife_remaining,Num_Moulds
9409,1D25212812086FXPC0,"['B1208012ULXPCHMI06', 'B1208012ULXPCHMI03']",586,2
9410,1325217514082TVECH,"['B1756514VECTRAGC11', 'B1756514VECTRAGC10']",2790,2
9411,1D25212812086FXPC0,"['B1208012ULXPCHMI10', 'B1208012ULXPCHMI04']",640,2
9412,1D25212812086FXPC0,"['B1208012ULXPCHMI07', 'B1208012ULXPCHMI05']",1190,2
9413,1325221715100SRXT0,"['B2157515RAXATHMI04', 'B2157515RANXATTY02']",2530,2
9414,1325214812074TUHL0,"['C14580R12UHLTHMI05', 'B1458012UHLIFHMI01']",2248,2
9502,1D25213812090FXPC0,"['B13080R12ULXPCGC03', 'B13080R12UXPCHMI02']",2022,2
9503,1D25213812090FXPC0,"['B13080R12UXPCHMI08', 'B13080R12ULXPCGC01']",2203,2
9504,1325214812074TUHL0,"['C14580R12UHLTHMI06', 'B1458012UHLIFHMI02']",2116,2
9505,1D25212812074FXC10,"['B1208012ULXPC1GC05', 'B1208012UXPC1HMI01']",448,2
9506,1D25212812074FXC10,"['B1208012UXPC1HMI02', 'B1208012ULXPC1GC04']",274,2
9507,1D25212812074FXC10,"['B1208012ULXPC1GC09', 'B1208012ULXPC1GC06']",134,2
9701,1225170015012LSTL0,"['B70015STKINGLTHM46', 'B70015STKINGLTHM30']",1491,2
9702,1225221715115SSTL0,"['B2157515STLKNGHM13', 'B2157515STLKGHMI05']",2571,2
9703,1225170015012LSTL0,"['B70015STKINGLTHM32', 'B70015STKINGLTHM31']",1522,2
9704,1225170015012LSTL0,"['B70015STKINGLTHM24', 'B70015STKINGLTHM22']",1780,2
9802,1325216814085STMX0,"['B1658014TAXIMXHM03', 'B1658014TAXIMXHM02']",2398,2
9804,1325216814085STMX0,"['B1658014TAXIMXHM05', 'B1658014TAXIMXGC04']",2648,2
